Rank	Family_ID	Period	Sub_family	N_members	N_chromosomes	Chromosomes	Total_span_bp	Total_span_Mb	Avg_copies	Avg_identity
16	P168_F003	168	3	25	1	SUPER_2	450548	0.45	52.6	81.8
17	P190_F003	190	3	436	71	SUPER_3,SUPER_X,SUPER_X_unloc_1,SUPER_X_unloc_10,SUPER_X_unloc_11,SUPER_X_unloc_12,SUPER_X_unloc_13,SUPER_X_unloc_14,SUPER_X_unloc_15,SUPER_X_unloc_16,SUPER_X_unloc_17,SUPER_X_unloc_18,SUPER_X_unloc_19,SUPER_X_unloc_2,SUPER_X_unloc_20,SUPER_X_unloc_21,SUPER_X_unloc_22,SUPER_X_unloc_23,SUPER_X_unloc_24,SUPER_X_unloc_25,SUPER_X_unloc_26,SUPER_X_unloc_27,SUPER_X_unloc_28,SUPER_X_unloc_29,SUPER_X_unloc_3,SUPER_X_unloc_30,SUPER_X_unloc_31,SUPER_X_unloc_32,SUPER_X_unloc_33,SUPER_X_unloc_34,SUPER_X_unloc_35,SUPER_X_unloc_36,SUPER_X_unloc_37,SUPER_X_unloc_38,SUPER_X_unloc_39,SUPER_X_unloc_4,SUPER_X_unloc_40,SUPER_X_unloc_41,SUPER_X_unloc_42,SUPER_X_unloc_43,SUPER_X_unloc_44,SUPER_X_unloc_45,SUPER_X_unloc_46,SUPER_X_unloc_47,SUPER_X_unloc_48,SUPER_X_unloc_49,SUPER_X_unloc_5,SUPER_X_unloc_50,SUPER_X_unloc_51,SUPER_X_unloc_52,SUPER_X_unloc_53,SUPER_X_unloc_54,SUPER_X_unloc_55,SUPER_X_unloc_56,SUPER_X_unloc_57,SUPER_X_unloc_58,SUPER_X_unloc_59,SUPER_X_unloc_6,SUPER_X_unloc_60,SUPER_X_unloc_61,SUPER_X_unloc_62,SUPER_X_unloc_63,SUPER_X_unloc_64,SUPER_X_unloc_65,SUPER_X_unloc_66,SUPER_X_unloc_68,SUPER_X_unloc_69,SUPER_X_unloc_7,SUPER_X_unloc_70,SUPER_X_unloc_8,SUPER_X_unloc_9	400033	0.40	3.0	96.6
18	P232_F004	232	4	13	1	SUPER_X	400005	0.40	115.5	91.9
19	P252_F002	252	2	10	1	SUPER_2	306018	0.31	103.2	97.2
20	P200_F013	200	13	15	3	SUPER_4,SUPER_5,SUPER_6	304663	0.30	78.9	95.7
21	P88_F002	88	2	541	70	SUPER_X,SUPER_X_unloc_1,SUPER_X_unloc_10,SUPER_X_unloc_11,SUPER_X_unloc_12,SUPER_X_unloc_13,SUPER_X_unloc_14,SUPER_X_unloc_15,SUPER_X_unloc_16,SUPER_X_unloc_17,SUPER_X_unloc_18,SUPER_X_unloc_19,SUPER_X_unloc_2,SUPER_X_unloc_20,SUPER_X_unloc_21,SUPER_X_unloc_22,SUPER_X_unloc_23,SUPER_X_unloc_24,SUPER_X_unloc_25,SUPER_X_unloc_26,SUPER_X_unloc_27,SUPER_X_unloc_28,SUPER_X_unloc_29,SUPER_X_unloc_3,SUPER_X_unloc_30,SUPER_X_unloc_31,SUPER_X_unloc_32,SUPER_X_unloc_33,SUPER_X_unloc_34,SUPER_X_unloc_35,SUPER_X_unloc_36,SUPER_X_unloc_37,SUPER_X_unloc_38,SUPER_X_unloc_39,SUPER_X_unloc_4,SUPER_X_unloc_40,SUPER_X_unloc_41,SUPER_X_unloc_42,SUPER_X_unloc_43,SUPER_X_unloc_44,SUPER_X_unloc_45,SUPER_X_unloc_46,SUPER_X_unloc_47,SUPER_X_unloc_48,SUPER_X_unloc_49,SUPER_X_unloc_5,SUPER_X_unloc_50,SUPER_X_unloc_51,SUPER_X_unloc_52,SUPER_X_unloc_53,SUPER_X_unloc_54,SUPER_X_unloc_55,SUPER_X_unloc_56,SUPER_X_unloc_57,SUPER_X_unloc_58,SUPER_X_unloc_59,SUPER_X_unloc_6,SUPER_X_unloc_60,SUPER_X_unloc_61,SUPER_X_unloc_62,SUPER_X_unloc_63,SUPER_X_unloc_64,SUPER_X_unloc_65,SUPER_X_unloc_66,SUPER_X_unloc_68,SUPER_X_unloc_69,SUPER_X_unloc_7,SUPER_X_unloc_70,SUPER_X_unloc_8,SUPER_X_unloc_9	302425	0.30	6.7	83.3
22	P377_F001	377	1	17	1	SUPER_3	298399	0.30	42.9	96.2
23	P182_F001	182	1	36	4	SUPER_2,SUPER_4,SUPER_5,SUPER_6	296793	0.30	41.1	91.8
24	P200_F006	200	6	18	4	SUPER_2,SUPER_3,SUPER_4,SUPER_6	278312	0.28	67.3	95.9
25	P230_F002	230	2	4	1	SUPER_1	243606	0.24	91.6	88.8
26	P265_F004	265	4	18	1	SUPER_5	203096	0.20	27.4	95.6
27	P404_F001	404	1	15	1	SUPER_4	186212	0.19	25.1	95.5
28	P184_F002	184	2	30	2	SUPER_3,SUPER_4	185265	0.19	23.1	89.6
29	P248_F003	248	3	8	1	SUPER_6	183169	0.18	33.0	95.1
30	P246_F002	246	2	23	1	SUPER_2	180171	0.18	29.5	92.1
