Chrom	Chr_Name	Block	Block_Type	Block_Start	Block_End	Block_Size	Rank	Family_ID	TR_Name	Coverage	Coverage_Fraction
SUPER_4	Chr 4	3	eliminated	10148041	11524806	1376766	2	P281_F001	P281_F001	50457	0.03664892944770571
SUPER_4	Chr 4	3	eliminated	10148041	11524806	1376766	3	P55_F001	P55_F001	3170	0.002302497301647484
SUPER_4	Chr 4	4	somatic	11524807	17155166	5630360	1	P200_F006	P200_F006	99978	0.017756946269865514
SUPER_4	Chr 4	4	somatic	11524807	17155166	5630360	2	P169_F002	P169_F002	68246	0.012121072187213606
SUPER_4	Chr 4	4	somatic	11524807	17155166	5630360	3	P371_F001	P371_F001	20843	0.0037018947278682005
SUPER_4	Chr 4	5	eliminated	17155167	23111030	5955864	1	P351_F001	AT-1	3778019	0.6343360090156525
SUPER_4	Chr 4	5	eliminated	17155167	23111030	5955864	2	P176_F001	AT-2	2100339	0.35265059779739766
SUPER_4	Chr 4	5	eliminated	17155167	23111030	5955864	3	P30_F004	P30_F004	723	1.2139296666277135e-4
SUPER_5	Chr 5	1	eliminated	1	3832738	3832738	1	P351_F001	AT-1	3314767	0.8648561420060542
SUPER_5	Chr 5	1	eliminated	1	3832738	3832738	2	P176_F001	AT-2	453661	0.11836473038334475
SUPER_5	Chr 5	1	eliminated	1	3832738	3832738	3	P55_F001	P55_F001	598	1.5602423124147803e-4
SUPER_5	Chr 5	2	somatic	3832739	9393105	5560367	1	P200_F013	P200_F013	109279	0.01965319915034385
SUPER_5	Chr 5	2	somatic	3832739	9393105	5560367	2	P251_F002	P251_F002	91437	0.01644441814721942
SUPER_5	Chr 5	2	somatic	3832739	9393105	5560367	3	P199_F006	P199_F006	51120	0.009193637758083234
SUPER_5	Chr 5	3	eliminated	9393106	10673160	1280055	1	P231_F004	AC-V	681338	0.5322724414185328
SUPER_5	Chr 5	3	eliminated	9393106	10673160	1280055	2	P78_F004	P78_F004	3673	0.002869407955126928
SUPER_5	Chr 5	3	eliminated	9393106	10673160	1280055	3	P55_F001	P55_F001	3433	0.002681916011421384
SUPER_5	Chr 5	4	somatic	10673161	16502173	5829013	1	P265_F004	P265_F004	203096	0.034842262317822933
SUPER_5	Chr 5	4	somatic	10673161	16502173	5829013	2	P269_F001	P269_F001	138693	0.023793565051235945
SUPER_5	Chr 5	4	somatic	10673161	16502173	5829013	3	P189_F002	P189_F002	82828	0.014209609757260792
SUPER_5	Chr 5	5	eliminated	16502174	21638500	5136327	1	P351_F001	AT-1	2842994	0.5535072046620084
SUPER_5	Chr 5	5	eliminated	16502174	21638500	5136327	2	P176_F001	AT-2	2239127	0.4359393395319262
SUPER_5	Chr 5	5	eliminated	16502174	21638500	5136327	3	P182_F001	P182_F001	26390	0.005137912753607783
SUPER_6	Chr 6	1	eliminated	1	4740948	4740948	1	P351_F001	AT-1	3634267	0.7665696818442219
SUPER_6	Chr 6	1	eliminated	1	4740948	4740948	2	P176_F001	AT-2	800300	0.16880590126700398
SUPER_6	Chr 6	1	eliminated	1	4740948	4740948	3	P248_F003	P248_F003	183169	0.03863552184077952
SUPER_6	Chr 6	2	somatic	4740949	8996569	4255621	1	P120_F002	P120_F002	99324	0.023339484413673117
SUPER_6	Chr 6	2	somatic	4740949	8996569	4255621	2	P39_F004	P39_F004	19171	0.004504865447369491
SUPER_6	Chr 6	2	somatic	4740949	8996569	4255621	3	P370_F001	P370_F001	15439	0.003627907654370537
SUPER_6	Chr 6	3	eliminated	8996570	11483127	2486558	1	P412_F002	AC-VI	1132453	0.4554299557862716
SUPER_6	Chr 6	3	eliminated	8996570	11483127	2486558	2	P411_F002	P411_F002	10818	0.004350592264487698
SUPER_6	Chr 6	3	eliminated	8996570	11483127	2486558	3	P30_F004	P30_F004	1691	6.800565279394247e-4
SUPER_6	Chr 6	4	somatic	11483128	16869255	5386128	1	P200_F006	P200_F006	167468	0.031092465682211787
SUPER_6	Chr 6	4	somatic	11483128	16869255	5386128	2	P200_F013	P200_F013	147507	0.027386463893914144
SUPER_6	Chr 6	4	somatic	11483128	16869255	5386128	3	P177_F001	P177_F001	102943	0.019112616707215275
SUPER_6	Chr 6	5	eliminated	16869256	21466504	4597249	1	P351_F001	AT-1	3258612	0.7088178169161601
SUPER_6	Chr 6	5	eliminated	16869256	21466504	4597249	2	P176_F001	AT-2	1135380	0.2469694375919164
SUPER_6	Chr 6	5	eliminated	16869256	21466504	4597249	3	P182_F001	P182_F001	136976	0.029795210135452745
SUPER_X	Chr X	1	eliminated	1	5501292	5501292	1	P347_F001	XT-1	3923551	0.7132053706656546
SUPER_X	Chr X	1	eliminated	1	5501292	5501292	2	P176_F003	P176_F003	785878	0.14285335153996553
SUPER_X	Chr X	1	eliminated	1	5501292	5501292	3	P190_F003	P190_F003	247991	0.04507868333475118
SUPER_X	Chr X	2	somatic	5501293	10706803	5205511	1	P348_F003	XR-1	1775093	0.34100264123925583
SUPER_X	Chr X	2	somatic	5501293	10706803	5205511	2	P164_F001	P164_F001	111577	0.021434399043628954
SUPER_X	Chr X	2	somatic	5501293	10706803	5205511	3	P371_F002	P371_F002	101546	0.01950740282750339
SUPER_X	Chr X	3	eliminated	10706804	10913775	206972	1	P248_F001	XC	78290	0.37826372649440504
SUPER_X	Chr X	3	eliminated	10706804	10913775	206972	2	P157_F003	P157_F003	17768	0.08584736099569024
SUPER_X	Chr X	3	eliminated	10706804	10913775	206972	3	P55_F001	P55_F001	667	0.003222658137332586
SUPER_X	Chr X	4	somatic	10913776	14217210	3303435	1	P291_F001	XR-2	665453	0.20144274066237114
SUPER_X	Chr X	4	somatic	10913776	14217210	3303435	2	P358_F002	P358_F002	138360	0.04188367562855028
SUPER_X	Chr X	4	somatic	10913776	14217210	3303435	3	P99_F008	P99_F008	20329	0.006153897382572988
SUPER_X	Chr X	5	eliminated	14217211	26933942	12716732	1	P342_F001	XT-2	10732771	0.8439881409783583
SUPER_X	Chr X	5	eliminated	14217211	26933942	12716732	2	P439_F001	P439_F001	696753	0.054790255861332925
SUPER_X	Chr X	5	eliminated	14217211	26933942	12716732	3	P232_F004	P232_F004	400005	0.031455015329410106
