Family_ID	Period	Sub_family	N_members	N_chromosomes	Chromosomes	Total_span_bp	Total_span_Mb	GRS_span_bp	Avg_copies	Avg_identity	Top30
P190_F003	190	3	436	71	SUPER_3,SUPER_X,SUPER_X_unloc_1,SUPER_X_unloc_10,SUPER_X_unloc_11,SUPER_X_unloc_12,SUPER_X_unloc_13,SUPER_X_unloc_14,SUPER_X_unloc_15,SUPER_X_unloc_16,SUPER_X_unloc_17,SUPER_X_unloc_18,SUPER_X_unloc_19,SUPER_X_unloc_2,SUPER_X_unloc_20,SUPER_X_unloc_21,SUPER_X_unloc_22,SUPER_X_unloc_23,SUPER_X_unloc_24,SUPER_X_unloc_25,SUPER_X_unloc_26,SUPER_X_unloc_27,SUPER_X_unloc_28,SUPER_X_unloc_29,SUPER_X_unloc_3,SUPER_X_unloc_30,SUPER_X_unloc_31,SUPER_X_unloc_32,SUPER_X_unloc_33,SUPER_X_unloc_34,SUPER_X_unloc_35,SUPER_X_unloc_36,SUPER_X_unloc_37,SUPER_X_unloc_38,SUPER_X_unloc_39,SUPER_X_unloc_4,SUPER_X_unloc_40,SUPER_X_unloc_41,SUPER_X_unloc_42,SUPER_X_unloc_43,SUPER_X_unloc_44,SUPER_X_unloc_45,SUPER_X_unloc_46,SUPER_X_unloc_47,SUPER_X_unloc_48,SUPER_X_unloc_49,SUPER_X_unloc_5,SUPER_X_unloc_50,SUPER_X_unloc_51,SUPER_X_unloc_52,SUPER_X_unloc_53,SUPER_X_unloc_54,SUPER_X_unloc_55,SUPER_X_unloc_56,SUPER_X_unloc_57,SUPER_X_unloc_58,SUPER_X_unloc_59,SUPER_X_unloc_6,SUPER_X_unloc_60,SUPER_X_unloc_61,SUPER_X_unloc_62,SUPER_X_unloc_63,SUPER_X_unloc_64,SUPER_X_unloc_65,SUPER_X_unloc_66,SUPER_X_unloc_68,SUPER_X_unloc_69,SUPER_X_unloc_7,SUPER_X_unloc_70,SUPER_X_unloc_8,SUPER_X_unloc_9	400033	0.40	248361	3.0	96.6	True
P232_F004	232	4	13	1	SUPER_X	400005	0.40	400005	115.5	91.9	True
P252_F002	252	2	10	1	SUPER_2	306018	0.31	0	103.2	97.2	True
P200_F013	200	13	15	3	SUPER_4,SUPER_5,SUPER_6	304663	0.30	0	78.9	95.7	True
P88_F002	88	2	541	70	SUPER_X,SUPER_X_unloc_1,SUPER_X_unloc_10,SUPER_X_unloc_11,SUPER_X_unloc_12,SUPER_X_unloc_13,SUPER_X_unloc_14,SUPER_X_unloc_15,SUPER_X_unloc_16,SUPER_X_unloc_17,SUPER_X_unloc_18,SUPER_X_unloc_19,SUPER_X_unloc_2,SUPER_X_unloc_20,SUPER_X_unloc_21,SUPER_X_unloc_22,SUPER_X_unloc_23,SUPER_X_unloc_24,SUPER_X_unloc_25,SUPER_X_unloc_26,SUPER_X_unloc_27,SUPER_X_unloc_28,SUPER_X_unloc_29,SUPER_X_unloc_3,SUPER_X_unloc_30,SUPER_X_unloc_31,SUPER_X_unloc_32,SUPER_X_unloc_33,SUPER_X_unloc_34,SUPER_X_unloc_35,SUPER_X_unloc_36,SUPER_X_unloc_37,SUPER_X_unloc_38,SUPER_X_unloc_39,SUPER_X_unloc_4,SUPER_X_unloc_40,SUPER_X_unloc_41,SUPER_X_unloc_42,SUPER_X_unloc_43,SUPER_X_unloc_44,SUPER_X_unloc_45,SUPER_X_unloc_46,SUPER_X_unloc_47,SUPER_X_unloc_48,SUPER_X_unloc_49,SUPER_X_unloc_5,SUPER_X_unloc_50,SUPER_X_unloc_51,SUPER_X_unloc_52,SUPER_X_unloc_53,SUPER_X_unloc_54,SUPER_X_unloc_55,SUPER_X_unloc_56,SUPER_X_unloc_57,SUPER_X_unloc_58,SUPER_X_unloc_59,SUPER_X_unloc_6,SUPER_X_unloc_60,SUPER_X_unloc_61,SUPER_X_unloc_62,SUPER_X_unloc_63,SUPER_X_unloc_64,SUPER_X_unloc_65,SUPER_X_unloc_66,SUPER_X_unloc_68,SUPER_X_unloc_69,SUPER_X_unloc_7,SUPER_X_unloc_70,SUPER_X_unloc_8,SUPER_X_unloc_9	302425	0.30	123868	6.7	83.3	True
P377_F001	377	1	17	1	SUPER_3	298399	0.30	298399	42.9	96.2	True
P182_F001	182	1	36	4	SUPER_2,SUPER_4,SUPER_5,SUPER_6	296793	0.30	296793	41.1	91.8	True
P200_F006	200	6	18	4	SUPER_2,SUPER_3,SUPER_4,SUPER_6	278312	0.28	1193	67.3	95.9	True
P230_F002	230	2	4	1	SUPER_1	243606	0.24	243606	91.6	88.8	True
P265_F004	265	4	18	1	SUPER_5	203096	0.20	0	27.4	95.6	True
P404_F001	404	1	15	1	SUPER_4	186212	0.19	0	25.1	95.5	True
P184_F002	184	2	30	2	SUPER_3,SUPER_4	185265	0.19	185265	23.1	89.6	True
P248_F003	248	3	8	1	SUPER_6	183169	0.18	183169	33.0	95.1	True
P246_F002	246	2	23	1	SUPER_2	180171	0.18	180171	29.5	92.1	True
P530_F001	530	1	11	1	SUPER_1	175999	0.18	0	35.9	93.5	False
P244_F001	244	1	16	1	SUPER_2	169019	0.17	2411	24.9	92.6	False
P168_F007	168	7	2	1	SUPER_X_unloc_1	157380	0.16	0	37.1	95.5	False
P529_F002	529	2	46	1	SUPER_3	153607	0.15	153607	4.1	93.8	False
P2_F002	2	2	1783	7	SUPER_1,SUPER_2,SUPER_3,SUPER_4,SUPER_5,SUPER_6,SUPER_X	143027	0.14	833	40.8	93.6	False
P269_F001	269	1	22	1	SUPER_5	138693	0.14	0	20.8	95.5	False
P358_F002	358	2	4	1	SUPER_X	138360	0.14	0	96.5	98.0	False
P259_F002	259	2	14	1	SUPER_4	137307	0.14	0	37.7	94.9	False
P264_F002	264	2	6	1	SUPER_2	135115	0.14	0	83.0	96.3	False
P162_F002	162	2	39	1	SUPER_3	129996	0.13	0	4.5	93.7	False
P248_F001	248	1	10	2	SUPER_2,SUPER_X	129783	0.13	129783	33.5	94.8	False
P200_F005	200	5	9	3	SUPER_2,SUPER_3,SUPER_5	121608	0.12	0	67.5	95.4	False
P264_F001	264	1	7	2	SUPER_1,SUPER_1_unloc_1	114454	0.11	0	33.8	96.4	False
P164_F001	164	1	9	2	SUPER_4,SUPER_X	113291	0.11	0	63.2	95.4	False
P253_F001	253	1	25	1	SUPER_1	110804	0.11	0	6.8	91.3	False
P166_F002	166	2	36	1	SUPER_3	110212	0.11	0	11.4	94.7	False
P177_F001	177	1	19	1	SUPER_6	102943	0.10	0	19.7	92.0	False
P371_F002	371	2	3	1	SUPER_X	101546	0.10	0	91.3	98.7	False
P168_F006	168	6	8	1	SUPER_X	99563	0.10	99563	74.1	95.0	False
P120_F002	120	2	2	1	SUPER_6	99324	0.10	0	27.1	84.5	False
P200_F008	200	8	3	1	SUPER_3	93891	0.09	0	156.5	96.3	False
P272_F001	272	1	4	1	SUPER_1	92990	0.09	0	74.2	97.5	False
P251_F002	251	2	3	1	SUPER_5	91437	0.09	0	51.3	89.7	False
P247_F001	247	1	6	1	SUPER_1	90070	0.09	0	20.6	92.5	False
P477_F001	477	1	9	1	SUPER_3	89475	0.09	89475	16.1	87.9	False
P189_F002	189	2	15	1	SUPER_5	82828	0.08	0	29.2	94.9	False
P170_F001	170	1	13	1	SUPER_X	77808	0.08	0	29.0	89.5	False
P184_F001	184	1	18	1	SUPER_1	75408	0.08	0	3.3	94.7	False
P281_F002	281	2	31	21	SUPER_X,SUPER_X_unloc_15,SUPER_X_unloc_17,SUPER_X_unloc_18,SUPER_X_unloc_21,SUPER_X_unloc_29,SUPER_X_unloc_3,SUPER_X_unloc_37,SUPER_X_unloc_38,SUPER_X_unloc_42,SUPER_X_unloc_48,SUPER_X_unloc_49,SUPER_X_unloc_50,SUPER_X_unloc_52,SUPER_X_unloc_53,SUPER_X_unloc_59,SUPER_X_unloc_61,SUPER_X_unloc_66,SUPER_X_unloc_68,SUPER_X_unloc_7,SUPER_X_unloc_9	74826	0.07	1256	8.3	97.3	False
P192_F002	192	2	24	1	SUPER_3	73074	0.07	0	11.6	94.5	False
P243_F003	243	3	9	1	SUPER_5	71872	0.07	0	2.8	93.8	False
P167_F004	167	4	7	1	SUPER_6	68866	0.07	0	58.9	94.3	False
P169_F002	169	2	5	1	SUPER_4	68246	0.07	0	80.5	93.6	False
P199_F001	199	1	6	1	SUPER_1	66756	0.07	0	44.3	95.7	False
P234_F001	234	1	7	1	SUPER_2	60038	0.06	0	28.3	94.3	False
P194_F003	194	3	4	1	SUPER_4	59022	0.06	0	76.1	97.5	False
P221_F002	221	2	6	1	SUPER_4	53779	0.05	0	40.5	96.8	False
P199_F006	199	6	2	1	SUPER_5	51120	0.05	0	128.4	98.5	False
P281_F001	281	1	2	1	SUPER_4	50457	0.05	50457	10.4	91.5	False
P490_F001	490	1	15	1	SUPER_3	50214	0.05	0	6.2	98.2	False
P208_F002	208	2	3	1	SUPER_4	47296	0.05	0	75.5	96.3	False
P171_F002	171	2	11	1	SUPER_1	43695	0.04	0	22.5	94.5	False
P199_F005	199	5	5	2	SUPER_1,SUPER_3	43446	0.04	0	43.4	93.4	False
P19_F005	19	5	464	71	SUPER_3,SUPER_X,SUPER_X_unloc_1,SUPER_X_unloc_10,SUPER_X_unloc_11,SUPER_X_unloc_12,SUPER_X_unloc_13,SUPER_X_unloc_14,SUPER_X_unloc_15,SUPER_X_unloc_16,SUPER_X_unloc_17,SUPER_X_unloc_18,SUPER_X_unloc_19,SUPER_X_unloc_2,SUPER_X_unloc_20,SUPER_X_unloc_21,SUPER_X_unloc_22,SUPER_X_unloc_23,SUPER_X_unloc_24,SUPER_X_unloc_25,SUPER_X_unloc_26,SUPER_X_unloc_27,SUPER_X_unloc_28,SUPER_X_unloc_29,SUPER_X_unloc_3,SUPER_X_unloc_30,SUPER_X_unloc_31,SUPER_X_unloc_32,SUPER_X_unloc_33,SUPER_X_unloc_34,SUPER_X_unloc_35,SUPER_X_unloc_36,SUPER_X_unloc_37,SUPER_X_unloc_38,SUPER_X_unloc_39,SUPER_X_unloc_4,SUPER_X_unloc_40,SUPER_X_unloc_41,SUPER_X_unloc_42,SUPER_X_unloc_43,SUPER_X_unloc_44,SUPER_X_unloc_45,SUPER_X_unloc_46,SUPER_X_unloc_47,SUPER_X_unloc_48,SUPER_X_unloc_49,SUPER_X_unloc_5,SUPER_X_unloc_50,SUPER_X_unloc_51,SUPER_X_unloc_52,SUPER_X_unloc_53,SUPER_X_unloc_54,SUPER_X_unloc_55,SUPER_X_unloc_56,SUPER_X_unloc_57,SUPER_X_unloc_58,SUPER_X_unloc_59,SUPER_X_unloc_6,SUPER_X_unloc_60,SUPER_X_unloc_61,SUPER_X_unloc_62,SUPER_X_unloc_63,SUPER_X_unloc_64,SUPER_X_unloc_65,SUPER_X_unloc_66,SUPER_X_unloc_68,SUPER_X_unloc_69,SUPER_X_unloc_7,SUPER_X_unloc_70,SUPER_X_unloc_8,SUPER_X_unloc_9	42131	0.04	1654	4.0	87.0	False
P317_F001	317	1	3	1	SUPER_5	41988	0.04	0	44.1	96.0	False
P168_F005	168	5	2	1	SUPER_X	40037	0.04	0	119.1	98.0	False
P226_F001	226	1	3	1	SUPER_1	39384	0.04	0	58.0	98.7	False
P319_F001	319	1	7	1	SUPER_1	38905	0.04	38905	16.4	88.9	False
P199_F003	199	3	3	1	SUPER_2	35576	0.04	0	59.6	97.0	False
P200_F007	200	7	4	1	SUPER_2	35327	0.04	0	44.3	95.5	False
P23_F001	23	1	541	71	SUPER_3,SUPER_X,SUPER_X_unloc_1,SUPER_X_unloc_10,SUPER_X_unloc_11,SUPER_X_unloc_12,SUPER_X_unloc_13,SUPER_X_unloc_14,SUPER_X_unloc_15,SUPER_X_unloc_16,SUPER_X_unloc_17,SUPER_X_unloc_18,SUPER_X_unloc_19,SUPER_X_unloc_2,SUPER_X_unloc_20,SUPER_X_unloc_21,SUPER_X_unloc_22,SUPER_X_unloc_23,SUPER_X_unloc_24,SUPER_X_unloc_25,SUPER_X_unloc_26,SUPER_X_unloc_27,SUPER_X_unloc_28,SUPER_X_unloc_29,SUPER_X_unloc_3,SUPER_X_unloc_30,SUPER_X_unloc_31,SUPER_X_unloc_32,SUPER_X_unloc_33,SUPER_X_unloc_34,SUPER_X_unloc_35,SUPER_X_unloc_36,SUPER_X_unloc_37,SUPER_X_unloc_38,SUPER_X_unloc_39,SUPER_X_unloc_4,SUPER_X_unloc_40,SUPER_X_unloc_41,SUPER_X_unloc_42,SUPER_X_unloc_43,SUPER_X_unloc_44,SUPER_X_unloc_45,SUPER_X_unloc_46,SUPER_X_unloc_47,SUPER_X_unloc_48,SUPER_X_unloc_49,SUPER_X_unloc_5,SUPER_X_unloc_50,SUPER_X_unloc_51,SUPER_X_unloc_52,SUPER_X_unloc_53,SUPER_X_unloc_54,SUPER_X_unloc_55,SUPER_X_unloc_56,SUPER_X_unloc_57,SUPER_X_unloc_58,SUPER_X_unloc_59,SUPER_X_unloc_6,SUPER_X_unloc_60,SUPER_X_unloc_61,SUPER_X_unloc_62,SUPER_X_unloc_63,SUPER_X_unloc_64,SUPER_X_unloc_65,SUPER_X_unloc_66,SUPER_X_unloc_68,SUPER_X_unloc_69,SUPER_X_unloc_7,SUPER_X_unloc_70,SUPER_X_unloc_8,SUPER_X_unloc_9	35217	0.04	9802	2.9	95.8	False
P199_F007	199	7	3	1	SUPER_5	34967	0.03	0	58.6	95.0	False
P231_F003	231	3	2	1	SUPER_5	33666	0.03	0	73.6	89.0	False
P245_F001	245	1	6	1	SUPER_1	26299	0.03	0	13.7	94.5	False
P2_F001	2	1	325	10	SUPER_1,SUPER_2,SUPER_3,SUPER_4,SUPER_5,SUPER_6,SUPER_X,SUPER_X_unloc_67,scaffold_183,scaffold_MT_1	25538	0.03	6404	40.0	94.5	False
P55_F001	55	1	151	8	SUPER_1,SUPER_2,SUPER_3,SUPER_4,SUPER_5,SUPER_6,SUPER_X,scaffold_34	25060	0.03	22938	3.0	95.7	False
P42_F001	42	1	6	2	SUPER_1,SUPER_4	23890	0.02	0	114.9	77.3	False
P6_F001	6	1	273	6	SUPER_1,SUPER_2,SUPER_3,SUPER_4,SUPER_5,SUPER_6	23729	0.02	303	9.8	87.5	False
P176_F004	176	4	2	2	SUPER_X_unloc_1,SUPER_X_unloc_67	23481	0.02	0	66.8	98.5	False
P200_F012	200	12	6	2	SUPER_4,SUPER_6	23124	0.02	4244	19.3	93.7	False
P173_F004	173	4	5	1	SUPER_X	23113	0.02	23113	26.7	84.8	False
P30_F004	30	4	222	8	SUPER_1,SUPER_2,SUPER_3,SUPER_4,SUPER_5,SUPER_6,SUPER_X,scaffold_34	22938	0.02	20984	3.5	84.5	False
P93_F001	93	1	6	1	SUPER_1	20981	0.02	0	24.2	85.5	False
P371_F001	371	1	3	1	SUPER_4	20843	0.02	0	18.7	98.7	False
P99_F008	99	8	107	1	SUPER_X	20329	0.02	0	1.9	87.9	False
P431_F002	431	2	2	1	SUPER_X	20172	0.02	0	23.4	99.0	False
P39_F004	39	4	2	1	SUPER_6	19171	0.02	0	246.8	87.5	False
P341_F001	341	1	7	1	SUPER_2	18317	0.02	0	7.6	94.7	False
P157_F003	157	3	3	1	SUPER_X	17768	0.02	17768	5.9	94.3	False
P167_F005	167	5	3	1	SUPER_X	17768	0.02	0	35.3	91.7	False
P475_F001	475	1	6	1	SUPER_5	17578	0.02	0	6.2	97.7	False
P265_F002	265	2	2	1	SUPER_2	16251	0.02	0	30.7	93.5	False
P323_F002	323	2	28	1	SUPER_X	15868	0.02	15868	2.6	79.9	False
P370_F001	370	1	2	1	SUPER_6	15439	0.02	0	20.8	99.0	False
P546_F001	546	1	1	1	SUPER_3	15069	0.02	0	10.4	91.0	False
P192_F001	192	1	19	1	SUPER_2	14533	0.01	0	4.0	96.3	False
P26_F002	26	2	88	7	SUPER_1,SUPER_2,SUPER_3,SUPER_4,SUPER_5,SUPER_6,SUPER_X	12917	0.01	11679	3.8	85.1	False
P301_F001	301	1	6	1	SUPER_1	12704	0.01	0	3.5	88.0	False
P197_F003	197	3	3	2	SUPER_X,scaffold_183	11172	0.01	8575	19.1	92.7	False
P29_F002	29	2	159	41	SUPER_X,SUPER_X_unloc_10,SUPER_X_unloc_13,SUPER_X_unloc_14,SUPER_X_unloc_15,SUPER_X_unloc_16,SUPER_X_unloc_17,SUPER_X_unloc_18,SUPER_X_unloc_2,SUPER_X_unloc_20,SUPER_X_unloc_21,SUPER_X_unloc_25,SUPER_X_unloc_27,SUPER_X_unloc_28,SUPER_X_unloc_29,SUPER_X_unloc_30,SUPER_X_unloc_32,SUPER_X_unloc_33,SUPER_X_unloc_34,SUPER_X_unloc_37,SUPER_X_unloc_39,SUPER_X_unloc_40,SUPER_X_unloc_41,SUPER_X_unloc_42,SUPER_X_unloc_46,SUPER_X_unloc_47,SUPER_X_unloc_48,SUPER_X_unloc_49,SUPER_X_unloc_5,SUPER_X_unloc_50,SUPER_X_unloc_53,SUPER_X_unloc_54,SUPER_X_unloc_55,SUPER_X_unloc_57,SUPER_X_unloc_59,SUPER_X_unloc_61,SUPER_X_unloc_62,SUPER_X_unloc_63,SUPER_X_unloc_7,SUPER_X_unloc_8,SUPER_X_unloc_9	11160	0.01	5612	20.5	80.4	False
P19_F003	19	3	7	2	SUPER_2,SUPER_3	11091	0.01	0	80.4	70.9	False
P180_F001	180	1	3	1	SUPER_3	10954	0.01	0	9.9	88.7	False
P411_F002	411	2	11	1	SUPER_6	10818	0.01	10818	2.4	98.7	False
P131_F003	131	3	1	1	SUPER_X	10431	0.01	0	6.0	94.0	False
P71_F001	71	1	62	8	SUPER_1,SUPER_2,SUPER_3,SUPER_4,SUPER_5,SUPER_6,SUPER_X,scaffold_34	10090	0.01	8713	2.6	83.6	False
P96_F002	96	2	1	1	SUPER_5	8404	0.01	0	28.8	75.0	False
P37_F003	37	3	28	2	SUPER_X,SUPER_X_unloc_67	8394	0.01	7762	7.6	95.6	False
P507_F001	507	1	7	1	SUPER_3	7444	0.01	0	2.6	97.4	False
P200_F014	200	14	3	1	SUPER_4	6521	0.01	0	10.9	99.0	False
P420_F001	420	1	7	1	SUPER_X	6381	0.01	6381	2.6	94.9	False
P90_F004	90	4	49	1	SUPER_3	6360	0.01	6360	2.2	95.6	False
P139_F002	139	2	2	1	SUPER_3	6109	0.01	0	21.7	96.0	False
P75_F001	75	1	2	1	SUPER_5	5943	0.01	0	39.6	88.0	False
P122_F001	122	1	14	1	SUPER_1	5843	0.01	0	55.8	77.4	False
P167_F006	167	6	5	1	SUPER_X	5821	0.01	5821	5.2	84.4	False
P72_F003	72	3	2	1	SUPER_3	5682	0.01	0	40.3	88.5	False
P103_F003	103	3	1	1	SUPER_X	5557	0.01	0	27.0	94.0	False
P15_F003	15	3	8	4	SUPER_1,SUPER_4,SUPER_5,SUPER_6	5194	0.01	0	38.5	78.5	False
P30_F012	30	12	6	1	SUPER_3	4564	0.00	0	15.8	77.0	False
P585_F001	585	1	3	1	SUPER_4	4551	0.00	0	2.6	97.3	False
P144_F001	144	1	10	1	SUPER_3	4475	0.00	0	5.4	86.7	False
P459_F001	459	1	2	1	SUPER_1	4375	0.00	0	2.9	94.5	False
P179_F002	179	2	3	1	SUPER_5	4296	0.00	0	8.0	97.0	False
P84_F003	84	3	42	20	SUPER_X_unloc_10,SUPER_X_unloc_17,SUPER_X_unloc_18,SUPER_X_unloc_21,SUPER_X_unloc_29,SUPER_X_unloc_37,SUPER_X_unloc_38,SUPER_X_unloc_42,SUPER_X_unloc_48,SUPER_X_unloc_49,SUPER_X_unloc_50,SUPER_X_unloc_52,SUPER_X_unloc_53,SUPER_X_unloc_59,SUPER_X_unloc_61,SUPER_X_unloc_62,SUPER_X_unloc_66,SUPER_X_unloc_68,SUPER_X_unloc_7,SUPER_X_unloc_9	4262	0.00	0	2.4	90.4	False
P83_F002	83	2	3	1	SUPER_3	4260	0.00	0	3.9	91.0	False
P139_F001	139	1	2	1	SUPER_2	4008	0.00	0	14.4	87.5	False
P132_F006	132	6	15	1	SUPER_2	3986	0.00	0	3.5	79.9	False
P360_F001	360	1	4	1	SUPER_1	3957	0.00	3957	2.8	98.0	False
P33_F006	33	6	18	1	SUPER_2	3954	0.00	0	6.5	87.4	False
P367_F002	367	2	2	1	SUPER_2	3869	0.00	0	5.2	99.0	False
P160_F001	160	1	3	1	SUPER_1	3769	0.00	769	7.9	95.3	False
P84_F002	84	2	6	1	SUPER_4	3739	0.00	0	6.6	82.0	False
P78_F004	78	4	24	1	SUPER_5	3673	0.00	3673	2.0	92.0	False
P147_F005	147	5	13	8	SUPER_X_unloc_10,SUPER_X_unloc_17,SUPER_X_unloc_18,SUPER_X_unloc_21,SUPER_X_unloc_37,SUPER_X_unloc_50,SUPER_X_unloc_52,SUPER_X_unloc_7	3561	0.00	0	1.9	81.7	False
P63_F010	63	10	3	1	SUPER_X_unloc_12	3214	0.00	0	17.0	95.0	False
P30_F005	30	5	29	8	SUPER_1,SUPER_2,SUPER_3,SUPER_4,SUPER_5,SUPER_6,SUPER_X,scaffold_34	3050	0.00	2590	3.5	82.3	False
P56_F005	56	5	3	1	SUPER_X	3013	0.00	3013	52.2	76.0	False
P489_F001	489	1	2	1	SUPER_2	2998	0.00	0	3.1	93.0	False
P164_F002	164	2	4	1	SUPER_X	2873	0.00	0	4.4	94.2	False
P49_F005	49	5	4	2	SUPER_X_unloc_2,SUPER_X_unloc_4	2864	0.00	0	14.7	69.0	False
P150_F004	150	4	1	1	scaffold_183	2810	0.00	0	6.1	81.0	False
P202_F002	202	2	4	2	SUPER_X_unloc_2,SUPER_X_unloc_4	2808	0.00	0	3.0	87.0	False
P96_F003	96	3	2	1	SUPER_5	2779	0.00	0	14.6	89.0	False
P110_F001	110	1	7	1	SUPER_X	2562	0.00	678	3.3	95.3	False
P162_F003	162	3	1	1	SUPER_6	2419	0.00	0	7.0	85.0	False
P28_F002	28	2	23	6	SUPER_1,SUPER_2,SUPER_3,SUPER_4,SUPER_5,SUPER_6	2382	0.00	2113	4.7	79.3	False
P597_F001	597	1	2	1	SUPER_X	2356	0.00	0	2.0	97.0	False
P214_F001	214	1	2	2	SUPER_3,SUPER_X	2274	0.00	1137	7.3	84.0	False
P88_F001	88	1	24	1	SUPER_3	2186	0.00	0	2.0	93.6	False
P48_F001	48	1	1	1	SUPER_1	2177	0.00	0	4.9	82.0	False
P161_F002	161	2	4	1	SUPER_1	2129	0.00	0	3.3	96.8	False
P231_F002	231	2	2	1	SUPER_2	2087	0.00	0	2.5	88.5	False
P100_F001	100	1	1	1	SUPER_2	2086	0.00	0	11.8	87.0	False
P31_F003	31	3	32	7	SUPER_1,SUPER_2,SUPER_3,SUPER_4,SUPER_5,SUPER_6,SUPER_X	2047	0.00	1795	2.0	90.2	False
P4_F001	4	1	23	5	SUPER_1,SUPER_2,SUPER_4,SUPER_5,SUPER_6	2043	0.00	85	28.5	88.7	False
P132_F004	132	4	2	1	SUPER_2	2024	0.00	0	4.5	85.0	False
P15_F002	15	2	7	5	SUPER_2,SUPER_3,SUPER_4,SUPER_5,SUPER_6	2012	0.00	0	23.3	77.6	False
P580_F001	580	1	2	1	SUPER_3	1978	0.00	1978	2.3	99.0	False
P81_F004	81	4	20	1	SUPER_X	1872	0.00	1872	7.6	70.2	False
P228_F002	228	2	2	1	SUPER_2	1826	0.00	0	4.0	95.5	False
P37_F002	37	2	2	1	SUPER_5	1711	0.00	0	5.6	79.5	False
P14_F002	14	2	39	7	SUPER_1,SUPER_2,SUPER_3,SUPER_4,SUPER_5,SUPER_6,SUPER_X	1708	0.00	29	4.9	89.5	False
P10_F006	10	6	10	3	SUPER_2,SUPER_X,scaffold_183	1659	0.00	1189	11.8	82.3	False
P157_F002	157	2	3	1	SUPER_4	1629	0.00	0	3.5	97.7	False
P97_F002	97	2	2	1	SUPER_X	1613	0.00	0	8.5	91.0	False
P60_F007	60	7	6	1	SUPER_5	1612	0.00	0	51.0	78.7	False
P330_F001	330	1	1	1	SUPER_2	1579	0.00	0	2.5	85.0	False
P139_F003	139	3	10	1	SUPER_3	1570	0.00	1570	1.8	91.7	False
P15_F001	15	1	2	2	SUPER_1,SUPER_6	1560	0.00	0	93.2	75.5	False
P87_F004	87	4	2	1	SUPER_4	1554	0.00	0	5.4	91.5	False
P177_F002	177	2	2	1	SUPER_X	1551	0.00	0	2.1	87.0	False
P77_F001	77	1	13	1	SUPER_1	1543	0.00	0	2.8	96.2	False
P60_F004	60	4	4	1	SUPER_3	1533	0.00	0	8.6	78.2	False
P174_F001	174	1	2	2	SUPER_X_unloc_12,SUPER_X_unloc_3	1530	0.00	0	4.4	95.5	False
P150_F003	150	3	2	1	SUPER_X_unloc_67	1510	0.00	0	5.0	82.0	False
P63_F008	63	8	1	1	SUPER_6	1510	0.00	0	11.1	82.0	False
P57_F005	57	5	10	1	SUPER_X	1495	0.00	1495	2.8	97.4	False
P209_F002	209	2	2	1	SUPER_2	1479	0.00	0	3.5	98.0	False
P21_F001	21	1	12	5	SUPER_1,SUPER_2,SUPER_3,SUPER_5,SUPER_6	1384	0.00	333	4.5	87.7	False
P214_F002	214	2	2	1	SUPER_6	1372	0.00	0	3.2	98.5	False
P103_F004	103	4	4	1	SUPER_X	1329	0.00	0	3.3	87.0	False
P24_F007	24	7	2	1	SUPER_2	1325	0.00	0	11.9	73.0	False
P25_F004	25	4	7	2	SUPER_4,SUPER_6	1306	0.00	0	7.7	89.7	False
P215_F001	215	1	2	1	SUPER_1	1298	0.00	1298	3.0	97.5	False
