gene_id	Preferred_name	Description	OG_id	celegans	TPM	is_legit_homolog	has_te_domains
file_1_file_1_g6324	NA	NA	OG0000356	Y20F4.8.1	0	TRUE	FALSE
file_1_file_1_g6328	-	oxidation-reduction process	OG0008245	F54H12.2.1	0	TRUE	FALSE
file_1_file_1_g6330	-	-	OG0001947	K09F6.9.1, Y57G11C.20.1	0	TRUE	FALSE
file_1_file_1_g7242	NA	NA	OG0012129	R02D3.7.1	0	TRUE	TRUE
file_1_file_1_g7243	NA	NA	OG0012129	R02D3.7.1	0	TRUE	TRUE
file_1_file_1_g7257	-	oxidation-reduction process	OG0008245	F54H12.2.1	0	TRUE	FALSE
file_1_file_1_g7264	-	oxidation-reduction process	OG0008245	F54H12.2.1	0	TRUE	FALSE
file_1_file_1_g9178	NA	NA	OG0000749	Y113G7B.12.1	0	TRUE	FALSE
file_1_file_1_g9181	NA	NA	OG0000749	Y113G7B.12.1	0	TRUE	FALSE
file_1_file_1_g9186	NA	NA	OG0003429	NA	0	TRUE	FALSE
file_1_file_1_g9936	-	-	OG0001947	K09F6.9.1, Y57G11C.20.1	0	TRUE	FALSE
file_1_file_1_g826	NA	NA	OG0031955	NA	79.35968	FALSE	FALSE
file_1_file_1_g10846	NA	NA	OG0008317	NA	3.052576	FALSE	FALSE
file_1_file_1_g7241	NA	NA	OG0016977	NA	2.25656	FALSE	FALSE
file_1_file_1_g7262	NA	NA	OG0008317	NA	1.957915	FALSE	FALSE
file_1_file_1_g7269	NA	NA	OG0008317	NA	1.957915	FALSE	FALSE
file_1_file_1_g10848	NA	NA	OG0010278	NA	0.853308	FALSE	FALSE
file_1_file_1_g10849	NA	NA	OG0010278	NA	0.764916	FALSE	FALSE
file_1_file_1_g10867	NA	NA	OG0031328	NA	0.522678	FALSE	FALSE
file_1_file_1_g3594	-	Histone H4	OG0010247	NA	0.396793	FALSE	FALSE
file_1_file_1_g9918	NA	NA	OG0005446	NA	0.388054	FALSE	FALSE
file_1_file_1_g6337	NA	NA	OG0008317	NA	0.364131	FALSE	FALSE
file_1_file_1_g9894	NA	NA	OG0016943	NA	0.329531	FALSE	FALSE
file_1_file_1_g1667	NA	NA	OG0016967	NA	0.319167	FALSE	FALSE
file_1_file_1_g9906	NA	NA	OG0031080	NA	0.313937	FALSE	FALSE
file_1_file_1_g9880	NA	NA	OG0001960	NA	0.313103	FALSE	FALSE
file_1_file_1_g9898	NA	NA	OG0031078	NA	0.285648	FALSE	FALSE
file_1_file_1_g11939	NA	NA	OG0009513	NA	0.274321	FALSE	FALSE
file_1_file_1_g1	NA	NA	OG0009513	NA	0.232752	FALSE	FALSE
file_1_file_1_g3	NA	NA	OG0009513	NA	0.232752	FALSE	FALSE
file_1_file_1_g5	NA	NA	OG0009513	NA	0.232752	FALSE	FALSE
file_1_file_1_g9921	NA	NA	OG0009513	NA	0.232752	FALSE	FALSE
file_1_file_1_g9193	NA	NA	OG0009513	NA	0.211959	FALSE	FALSE
file_1_file_1_g9187	NA	NA	OG0016967	NA	0.197186	FALSE	FALSE
file_1_file_1_g9903	H3F3C	Histone H3	OG0016946	NA	0.18797	FALSE	FALSE
file_1_file_1_g5276	NA	NA	OG0016955	NA	0.154241	FALSE	FALSE
file_1_file_1_g5278	NA	NA	OG0016955	NA	0.154241	FALSE	FALSE
file_1_file_1_g1665	NA	NA	OG0016966	NA	0.152542	FALSE	FALSE
file_1_file_1_g11941	NA	NA	OG0002781	NA	0.143772	FALSE	FALSE
file_1_file_1_g9908	NA	NA	OG0005446	NA	0.131519	FALSE	FALSE
file_1_file_1_g9185	NA	NA	OG0016966	NA	0.125311	FALSE	FALSE
file_1_file_1_g9901	NA	NA	OG0016942	NA	0.102518	FALSE	FALSE
file_1_file_1_g9904	NA	NA	OG0031079	NA	0.101947	FALSE	FALSE
file_1_file_1_g9899	NA	NA	OG0008312	NA	0.095981	FALSE	FALSE
file_1_file_1_g8289	NA	NA	OG0008312	NA	0.088529	FALSE	FALSE
file_1_file_1_g3598	-	Histone H4	OG0010247	NA	0.085914	FALSE	FALSE
file_1_file_1_g4368	-	protein dimerization activity	OG0005446	NA	0.075205	FALSE	FALSE
file_1_file_1_g9	NA	NA	OG0001138	NA	0.074216	FALSE	FALSE
file_1_file_1_g10859	NA	NA	OG0016961	NA	0.073026	FALSE	FALSE
file_1_file_1_g11940	NA	NA	OG0002781	NA	0.07116	FALSE	FALSE
file_1_file_1_g9893	NA	NA	OG0002781	NA	0.055796	FALSE	FALSE
file_1_file_1_g9184	NA	NA	OG0009513	NA	0.055322	FALSE	FALSE
file_1_file_1_g11933	NA	NA	OG0002781	NA	0.054926	FALSE	FALSE
file_1_file_1_g10880	NA	NA	OG0001138	NA	0.05465	FALSE	FALSE
file_1_file_1_g10881	NA	NA	OG0001138	NA	0.05465	FALSE	FALSE
file_1_file_1_g10882	NA	NA	OG0001138	NA	0.05465	FALSE	FALSE
file_1_file_1_g10883	NA	NA	OG0001138	NA	0.05465	FALSE	FALSE
file_1_file_1_g9888	NA	NA	OG0002781	NA	0.052265	FALSE	FALSE
file_1_file_1_g9895	NA	NA	OG0002781	NA	0.046732	FALSE	FALSE
file_1_file_1_g9896	NA	NA	OG0002781	NA	0.046707	FALSE	FALSE
file_1_file_1_g9907	NA	NA	OG0002781	NA	0.045103	FALSE	FALSE
file_1_file_1_g11937	NA	NA	OG0005446	NA	0.043563	FALSE	FALSE
file_1_file_1_g810	NA	NA	OG0000254	NA	0.035465000000000003	FALSE	FALSE
file_1_file_1_g10879	NA	NA	OG0000254	NA	0.033323	FALSE	FALSE
file_1_file_1_g11925	NA	NA	OG0031435	NA	0.032598	FALSE	FALSE
file_1_file_1_g10837	NA	NA	OG0001138	NA	0.030156	FALSE	FALSE
file_1_file_1_g6326	NA	NA	OG0000254	NA	0.027696	FALSE	FALSE
file_1_file_1_g1664	NA	NA	OG0011069	NA	0.024816	FALSE	FALSE
file_1_file_1_g9909	NA	NA	OG0008312	NA	0.02431	FALSE	FALSE
file_1_file_1_g10862	NA	NA	OG0000254	NA	0.021648	FALSE	FALSE
file_1_file_1_g11936	NA	NA	OG0005446	NA	0.020006	FALSE	FALSE
file_1_file_1_g11935	NA	NA	OG0005446	NA	0.01956	FALSE	FALSE
file_1_file_1_g11934	NA	NA	OG0005446	NA	0.017784	FALSE	FALSE
file_1_file_1_g2493	NA	NA	OG0000254	NA	0.017373	FALSE	FALSE
file_1_file_1_g2494	NA	NA	OG0000254	NA	0.017373	FALSE	FALSE
file_1_file_1_g11942	NA	NA	OG0012327	NA	0.015173	FALSE	FALSE
file_1_file_1_g9189	NA	NA	OG0012327	NA	0.00667	FALSE	FALSE
file_1_file_1_g1663	NA	NA	OG0012327	NA	0.006111	FALSE	FALSE
file_1_file_1_g10836	NA	NA	OG0001138	NA	0.006036	FALSE	FALSE
file_1_file_1_g11932	NA	NA	OG0012327	NA	0.005936	FALSE	FALSE
file_1_file_1_g10851	NA	NA	OG0010278	NA	0	FALSE	FALSE
file_1_file_1_g10852	NA	NA	OG0010278	NA	0	FALSE	FALSE
file_1_file_1_g10853	NA	NA	OG0010278	NA	0	FALSE	FALSE
file_1_file_1_g10855	NA	NA	OG0031327	NA	0	FALSE	FALSE
file_1_file_1_g10857	NA	NA	OG0016945	NA	0	FALSE	FALSE
file_1_file_1_g10858	NA	NA	OG0016949	NA	0	FALSE	FALSE
file_1_file_1_g10861	NA	NA	OG0000254	NA	0	FALSE	FALSE
file_1_file_1_g10863	NA	NA	OG0001138	NA	0	FALSE	FALSE
file_1_file_1_g10865	NA	NA	OG0000254	NA	0	FALSE	FALSE
file_1_file_1_g10868	NA	NA	OG0031329	NA	0	FALSE	FALSE
file_1_file_1_g10869	NA	NA	OG0001138	NA	0	FALSE	FALSE
file_1_file_1_g10871	NA	NA	OG0000254	NA	0	FALSE	FALSE
file_1_file_1_g10877	NA	NA	OG0001138	NA	0	FALSE	FALSE
file_1_file_1_g10878	NA	NA	OG0000254	NA	0	FALSE	FALSE
file_1_file_1_g11938	NA	NA	OG0016947	NA	0	FALSE	FALSE
file_1_file_1_g1669	NA	NA	OG0013962	NA	0	FALSE	FALSE
file_1_file_1_g1670	NA	NA	OG0013962	NA	0	FALSE	FALSE
file_1_file_1_g2495	NA	NA	OG0000254	NA	0	FALSE	FALSE
file_1_file_1_g2496	NA	NA	OG0009530	NA	0	FALSE	FALSE
file_1_file_1_g2500	NA	NA	OG0009530	NA	0	FALSE	FALSE
file_1_file_1_g2501	NA	NA	OG0013947	NA	0	FALSE	FALSE
file_1_file_1_g2502	NA	NA	OG0016961	NA	0	FALSE	FALSE
file_1_file_1_g2503	NA	NA	OG0013947	NA	0	FALSE	FALSE
file_1_file_1_g2504	NA	NA	OG0000254	NA	0	FALSE	FALSE
file_1_file_1_g2505	NA	NA	OG0016982	NA	0	FALSE	FALSE
file_1_file_1_g2506	NA	NA	OG0016982	NA	0	FALSE	FALSE
file_1_file_1_g2521	NA	NA	OG0031645	NA	0	FALSE	FALSE
file_1_file_1_g3590	-	protein heterodimerization activity	OG0010247	NA	0	FALSE	FALSE
file_1_file_1_g3593	-	protein heterodimerization activity	OG0010247	NA	0	FALSE	FALSE
file_1_file_1_g3596	-	Histone H4	OG0010247	NA	0	FALSE	FALSE
file_1_file_1_g3597	-	histone H3	OG0031087	NA	0	FALSE	FALSE
file_1_file_1_g3600	-	Histone H4	OG0010247	NA	0	FALSE	FALSE
file_1_file_1_g6320	NA	NA	OG0008312	NA	0	FALSE	FALSE
file_1_file_1_g6321	NA	NA	OG0031514	NA	0	FALSE	FALSE
file_1_file_1_g6322	NA	NA	OG0031515	NA	0	FALSE	FALSE
file_1_file_1_g6323	NA	NA	OG0000254	NA	0	FALSE	FALSE
file_1_file_1_g6325	NA	NA	OG0000254	NA	0	FALSE	FALSE
file_1_file_1_g804	NA	NA	OG0000254	NA	0	FALSE	FALSE
file_1_file_1_g805	NA	NA	OG0000254	NA	0	FALSE	FALSE
file_1_file_1_g807	NA	NA	OG0000254	NA	0	FALSE	FALSE
file_1_file_1_g808	NA	NA	OG0000254	NA	0	FALSE	FALSE
file_1_file_1_g809	NA	NA	OG0000254	NA	0	FALSE	FALSE
file_1_file_1_g815	NA	NA	OG0000254	NA	0	FALSE	FALSE
file_1_file_1_g816	NA	NA	OG0008312	NA	0	FALSE	FALSE
file_1_file_1_g8288	NA	NA	OG0005446	NA	0	FALSE	FALSE
file_1_file_1_g8290	NA	NA	OG0000254	NA	0	FALSE	FALSE
file_1_file_1_g9194	NA	NA	OG0030979	NA	0	FALSE	FALSE
file_1_file_1_g9195	NA	NA	OG0030980	NA	0	FALSE	FALSE
file_1_file_1_g9196	NA	NA	OG0011069	NA	0	FALSE	FALSE
file_1_file_1_g9197	NA	NA	OG0010241	NA	0	FALSE	FALSE
file_1_file_1_g9198	NA	NA	OG0010241	NA	0	FALSE	FALSE
file_1_file_1_g9199	NA	NA	OG0010241	NA	0	FALSE	FALSE
file_1_file_1_g9200	NA	NA	OG0010241	NA	0	FALSE	FALSE
file_1_file_1_g9201	NA	NA	OG0010241	NA	0	FALSE	FALSE
file_1_file_1_g9202	NA	NA	OG0010241	NA	0	FALSE	FALSE
file_1_file_1_g9875	NA	NA	OG0000254	NA	0	FALSE	FALSE
file_1_file_1_g9882	NA	NA	OG0002781	NA	0	FALSE	FALSE
file_1_file_1_g9883	NA	NA	OG0016941	NA	0	FALSE	FALSE
file_1_file_1_g9884	NA	NA	OG0031077	NA	0	FALSE	FALSE
file_1_file_1_g9885	NA	NA	OG0002781	NA	0	FALSE	FALSE
file_1_file_1_g9886	NA	NA	OG0008312	NA	0	FALSE	FALSE
file_1_file_1_g9887	NA	NA	OG0016942	NA	0	FALSE	FALSE
file_1_file_1_g9889	NA	NA	OG0005446	NA	0	FALSE	FALSE
file_1_file_1_g9890	NA	NA	OG0002781	NA	0	FALSE	FALSE
file_1_file_1_g9891	NA	NA	OG0002781	NA	0	FALSE	FALSE
file_1_file_1_g9892	NA	NA	OG0005446	NA	0	FALSE	FALSE
file_1_file_1_g9900	NA	NA	OG0016945	NA	0	FALSE	FALSE
file_1_file_1_g9902	NA	NA	OG0002781	NA	0	FALSE	FALSE
file_1_file_1_g9905	NA	NA	OG0008312	NA	0	FALSE	FALSE
file_1_file_1_g9910	NA	NA	OG0016947	NA	0	FALSE	FALSE
file_1_file_1_g9911	NA	NA	OG0016943	NA	0	FALSE	FALSE
file_1_file_1_g9912	NA	NA	OG0031081	NA	0	FALSE	FALSE
file_1_file_1_g9913	NA	NA	OG0031082	NA	0	FALSE	FALSE
file_1_file_1_g9914	NA	NA	OG0031083	NA	0	FALSE	FALSE
file_1_file_1_g9915	NA	NA	OG0031084	NA	0	FALSE	FALSE
file_1_file_1_g9916	NA	NA	OG0031085	NA	0	FALSE	FALSE
file_1_file_1_g9917	NA	NA	OG0031086	NA	0	FALSE	FALSE
file_1_file_1_g9919	NA	NA	OG0016946	NA	0	FALSE	FALSE
