gene_id	Preferred_name	Description	OG_id	celegans	TPM	te_contained	has_te_domains	is_legit_homolog	is_non_te_candidate
file_1_file_1_g6	NA	NA	OG0003429	NA	0.004884	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g9922	NA	NA	OG0003429	NA	0.004884	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g3592	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0.004168	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g3595	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0.004168	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g2530	-	-	OG0001006	F23C8.3b.1	0.003849	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g9938	-	oxidation-reduction process	OG0008245	F54H12.2.1	0.001228	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g10842	-	-	OG0001947	K09F6.9.1, Y57G11C.20.1	0	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g11931	NA	NA	OG0000749	Y113G7B.12.1	0	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g2523	-	-	OG0001947	K09F6.9.1, Y57G11C.20.1	0	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g2529	-	response to salt stress	OG0001947	K09F6.9.1, Y57G11C.20.1	0	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g3589	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g3601	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g3602	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g4367	NA	NA	OG0005394	T26G10.4.1	0	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g5281	NA	NA	OG0000749	Y113G7B.12.1	0	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g6324	NA	NA	OG0000356	Y20F4.8.1	0	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g6328	-	oxidation-reduction process	OG0008245	F54H12.2.1	0	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g6330	-	-	OG0001947	K09F6.9.1, Y57G11C.20.1	0	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g7257	-	oxidation-reduction process	OG0008245	F54H12.2.1	0	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g7264	-	oxidation-reduction process	OG0008245	F54H12.2.1	0	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g9178	NA	NA	OG0000749	Y113G7B.12.1	0	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g9181	NA	NA	OG0000749	Y113G7B.12.1	0	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g9186	NA	NA	OG0003429	NA	0	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g9936	-	-	OG0001947	K09F6.9.1, Y57G11C.20.1	0	FALSE	FALSE	TRUE	TRUE
file_1_file_1_g2531	NA	NA	OG0012045	F40D4.13.1, T11F9.10.1	0.433529	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g9939	-	-	OG0002750	C25F9.1a.1, C25F9.2.1, E01G4.5.1, K09F6.10.3	0.238332	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g10844	NA	NA	OG0001286	NA	0.116361	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g10839	-	-	OG0002750	C25F9.1a.1, C25F9.2.1, E01G4.5.1, K09F6.10.3	0.093934	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g812	-	K02A2.6-like	OG0000190	K02E2.6.3	0.070708	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g819	NA	NA	OG0000190	K02E2.6.3	0.050035	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g10876	NA	NA	OG0000190	K02E2.6.3	0.04221	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g11	NA	NA	OG0000190	K02E2.6.3	0.025245	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g7256	-	-	OG0002750	C25F9.1a.1, C25F9.2.1, E01G4.5.1, K09F6.10.3	0.024263	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g7263	-	-	OG0002750	C25F9.1a.1, C25F9.2.1, E01G4.5.1, K09F6.10.3	0.024263	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g11928	-	proton channel activity	OG0000474	F46F5.8.1	0.012282	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g9190	-	proton channel activity	OG0000474	F46F5.8.1	0.012282	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g9191	-	proton channel activity	OG0000474	F46F5.8.1	0.012282	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g2516	-	-	OG0001006	F23C8.3b.1	0.011889	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g2518	-	-	OG0001006	F23C8.3b.1	0.004225	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g10874	NA	NA	OG0016962	NA	0.003236	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g10838	-	-	OG0002750	C25F9.1a.1, C25F9.2.1, E01G4.5.1, K09F6.10.3	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g10843	-	-	OG0009518	NA	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g2499	-	nucleic acid binding	OG0000356	Y20F4.8.1	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g2507	-	-	OG0001006	F23C8.3b.1	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g2508	-	-	OG0001006	F23C8.3b.1	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g2509	-	-	OG0001006	F23C8.3b.1	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g2510	-	-	OG0001006	F23C8.3b.1	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g2511	-	-	OG0001006	F23C8.3b.1	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g2512	-	-	OG0001006	F23C8.3b.1	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g2513	-	-	OG0001006	F23C8.3b.1	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g2514	-	-	OG0001006	F23C8.3b.1	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g2515	-	-	OG0001006	F23C8.3b.1	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g2517	-	-	OG0001006	F23C8.3b.1	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g2520	-	-	OG0001006	F23C8.3b.1	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g2522	NA	NA	OG0000190	K02E2.6.3	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g4371	-	-	OG0005394	T26G10.4.1	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g5284	NA	NA	OG0000749	Y113G7B.12.1	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g6333	NA	NA	OG0000190	K02E2.6.3	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g6334	NA	NA	OG0001286	NA	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g6338	NA	NA	OG0000749	Y113G7B.12.1	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g7244	NA	NA	OG0000190	K02E2.6.3	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g7249	NA	NA	OG0000749	Y113G7B.12.1	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g7260	-	-	OG0009518	NA	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g7267	-	-	OG0009518	NA	0	TRUE	FALSE	TRUE	FALSE
file_1_file_1_g9935	-	-	OG0009518	NA	0	TRUE	FALSE	TRUE	FALSE
