gene_id	Preferred_name	Description	OG_id	celegans	TPM	copy_status	retention_status	somatic_copies_retained
file_1_file_1_g3594	-	Histone H4	OG0010247	NA	0.396793	multi	eliminated_only	0
file_1_file_1_g9918	NA	NA	OG0005446	NA	0.388054	multi	eliminated_only	0
file_1_file_1_g6337	NA	NA	OG0008317	NA	0.364131	multi	copy_in_retained	2
file_1_file_1_g9894	NA	NA	OG0016943	NA	0.329531	multi	eliminated_only	0
file_1_file_1_g1667	NA	NA	OG0016967	NA	0.319167	multi	eliminated_only	0
file_1_file_1_g9906	NA	NA	OG0031080	NA	0.313937	single	-	0
file_1_file_1_g9880	NA	NA	OG0001960	NA	0.313103	multi	copy_in_retained	2
file_1_file_1_g9898	NA	NA	OG0031078	NA	0.285648	single	-	0
file_1_file_1_g1666	NA	NA	OG0003429	NA	0.281584	multi	copy_in_retained	4
file_1_file_1_g11939	NA	NA	OG0009513	NA	0.274321	multi	eliminated_only	0
file_1_file_1_g1	NA	NA	OG0009513	NA	0.232752	multi	eliminated_only	0
file_1_file_1_g3	NA	NA	OG0009513	NA	0.232752	multi	eliminated_only	0
file_1_file_1_g5	NA	NA	OG0009513	NA	0.232752	multi	eliminated_only	0
file_1_file_1_g9921	NA	NA	OG0009513	NA	0.232752	multi	eliminated_only	0
file_1_file_1_g10864	SETMAR	SET domain and mariner transposase fusion gene	OG0000282	F49E2.5l.2	0.22332	multi	copy_in_retained	4
file_1_file_1_g9923	SETMAR	SET domain and mariner transposase fusion gene	OG0000282	F49E2.5l.2	0.22332	multi	copy_in_retained	4
file_1_file_1_g3585	NA	NA	OG0000190	K02E2.6.3	0.213862	multi	copy_in_retained	4
file_1_file_1_g9193	NA	NA	OG0009513	NA	0.211959	multi	eliminated_only	0
file_1_file_1_g9187	NA	NA	OG0016967	NA	0.197186	multi	eliminated_only	0
file_1_file_1_g9903	H3F3C	Histone H3	OG0016946	NA	0.18797	multi	eliminated_only	0
file_1_file_1_g5276	NA	NA	OG0016955	NA	0.154241	multi	eliminated_only	0
file_1_file_1_g5278	NA	NA	OG0016955	NA	0.154241	multi	eliminated_only	0
file_1_file_1_g1665	NA	NA	OG0016966	NA	0.152542	multi	eliminated_only	0
file_1_file_1_g11941	NA	NA	OG0002781	NA	0.143772	multi	eliminated_only	0
file_1_file_1_g9908	NA	NA	OG0005446	NA	0.131519	multi	eliminated_only	0
file_1_file_1_g9185	NA	NA	OG0016966	NA	0.125311	multi	eliminated_only	0
file_1_file_1_g6327	NA	NA	OG0000356	Y20F4.8.1	0.119865	multi	copy_in_retained	9
file_1_file_1_g9901	NA	NA	OG0016942	NA	0.102518	multi	eliminated_only	0
file_1_file_1_g9904	NA	NA	OG0031079	NA	0.101947	single	-	0
file_1_file_1_g3584	-	K02A2.6-like	OG0000190	K02E2.6.3	0.097699	multi	copy_in_retained	4
file_1_file_1_g9899	NA	NA	OG0008312	NA	0.095981	multi	eliminated_only	0
file_1_file_1_g8289	NA	NA	OG0008312	NA	0.088529	multi	eliminated_only	0
file_1_file_1_g3598	-	Histone H4	OG0010247	NA	0.085914	multi	eliminated_only	0
file_1_file_1_g4368	-	protein dimerization activity	OG0005446	NA	0.075205	multi	eliminated_only	0
file_1_file_1_g9	NA	NA	OG0001138	NA	0.074216	multi	copy_in_retained	5
file_1_file_1_g10859	NA	NA	OG0016961	NA	0.073026	multi	eliminated_only	0
file_1_file_1_g11940	NA	NA	OG0002781	NA	0.07116	multi	eliminated_only	0
file_1_file_1_g9893	NA	NA	OG0002781	NA	0.055796	multi	eliminated_only	0
file_1_file_1_g9184	NA	NA	OG0009513	NA	0.055322	multi	eliminated_only	0
file_1_file_1_g11933	NA	NA	OG0002781	NA	0.054926	multi	eliminated_only	0
file_1_file_1_g10880	NA	NA	OG0001138	NA	0.05465	multi	copy_in_retained	5
file_1_file_1_g10881	NA	NA	OG0001138	NA	0.05465	multi	copy_in_retained	5
file_1_file_1_g10882	NA	NA	OG0001138	NA	0.05465	multi	copy_in_retained	5
file_1_file_1_g10883	NA	NA	OG0001138	NA	0.05465	multi	copy_in_retained	5
file_1_file_1_g9888	NA	NA	OG0002781	NA	0.052265	multi	eliminated_only	0
file_1_file_1_g9933	-	Integrase core domain	OG0001286	NA	0.048678	multi	copy_in_retained	4
file_1_file_1_g9895	NA	NA	OG0002781	NA	0.046732	multi	eliminated_only	0
file_1_file_1_g9896	NA	NA	OG0002781	NA	0.046707	multi	eliminated_only	0
file_1_file_1_g9907	NA	NA	OG0002781	NA	0.045103	multi	eliminated_only	0
file_1_file_1_g11937	NA	NA	OG0005446	NA	0.043563	multi	eliminated_only	0
file_1_file_1_g7259	-	-	OG0001947	K09F6.9.1, Y57G11C.20.1	0.037146	multi	copy_in_retained	2
file_1_file_1_g7266	-	-	OG0001947	K09F6.9.1, Y57G11C.20.1	0.037146	multi	copy_in_retained	2
file_1_file_1_g810	NA	NA	OG0000254	NA	0.035465000000000003	multi	copy_in_retained	16
file_1_file_1_g9934	NA	NA	OG0001286	NA	0.033432	multi	copy_in_retained	4
file_1_file_1_g10879	NA	NA	OG0000254	NA	0.033323	multi	copy_in_retained	16
file_1_file_1_g11925	NA	NA	OG0031435	NA	0.032598	single	-	0
file_1_file_1_g10837	NA	NA	OG0001138	NA	0.030156	multi	copy_in_retained	5
file_1_file_1_g6326	NA	NA	OG0000254	NA	0.027696	multi	copy_in_retained	16
file_1_file_1_g1664	NA	NA	OG0011069	NA	0.024816	multi	eliminated_only	0
file_1_file_1_g9909	NA	NA	OG0008312	NA	0.02431	multi	eliminated_only	0
file_1_file_1_g10862	NA	NA	OG0000254	NA	0.021648	multi	copy_in_retained	16
file_1_file_1_g11936	NA	NA	OG0005446	NA	0.020006	multi	eliminated_only	0
file_1_file_1_g11935	NA	NA	OG0005446	NA	0.01956	multi	eliminated_only	0
file_1_file_1_g11934	NA	NA	OG0005446	NA	0.017784	multi	eliminated_only	0
file_1_file_1_g2493	NA	NA	OG0000254	NA	0.017373	multi	copy_in_retained	16
file_1_file_1_g2494	NA	NA	OG0000254	NA	0.017373	multi	copy_in_retained	16
file_1_file_1_g2533	NA	NA	OG0000356	Y20F4.8.1	0.015877	multi	copy_in_retained	9
file_1_file_1_g11942	NA	NA	OG0012327	NA	0.015173	multi	eliminated_only	0
file_1_file_1_g3591	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0.008336	multi	copy_in_retained	19
file_1_file_1_g3599	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0.008336	multi	copy_in_retained	19
file_1_file_1_g2528	NA	NA	OG0001286	NA	0.008085	multi	copy_in_retained	4
file_1_file_1_g9189	NA	NA	OG0012327	NA	0.00667	multi	eliminated_only	0
file_1_file_1_g10840	-	oxidation-reduction process	OG0008245	F54H12.2.1	0.006533	multi	copy_in_retained	2
file_1_file_1_g1663	NA	NA	OG0012327	NA	0.006111	multi	eliminated_only	0
file_1_file_1_g10836	NA	NA	OG0001138	NA	0.006036	multi	copy_in_retained	5
file_1_file_1_g11932	NA	NA	OG0012327	NA	0.005936	multi	eliminated_only	0
file_1_file_1_g2	NA	NA	OG0003429	NA	0.004884	multi	copy_in_retained	4
file_1_file_1_g4	NA	NA	OG0003429	NA	0.004884	multi	copy_in_retained	4
file_1_file_1_g6	NA	NA	OG0003429	NA	0.004884	multi	copy_in_retained	4
file_1_file_1_g9922	NA	NA	OG0003429	NA	0.004884	multi	copy_in_retained	4
file_1_file_1_g3592	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0.004168	multi	copy_in_retained	19
file_1_file_1_g3595	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0.004168	multi	copy_in_retained	19
file_1_file_1_g2530	-	-	OG0001006	F23C8.3b.1	0.003849	multi	copy_in_retained	1
file_1_file_1_g2527	-	Chromatin organization modifier domain	OG0001286	NA	0.003846	multi	copy_in_retained	4
file_1_file_1_g9927	NA	NA	OG0000356	Y20F4.8.1	0.002484	multi	copy_in_retained	9
file_1_file_1_g9877	NA	NA	OG0000356	Y20F4.8.1	0.001484	multi	copy_in_retained	9
file_1_file_1_g9938	-	oxidation-reduction process	OG0008245	F54H12.2.1	0.001228	multi	copy_in_retained	2
file_1_file_1_g10842	-	-	OG0001947	K09F6.9.1, Y57G11C.20.1	0	multi	copy_in_retained	2
file_1_file_1_g10850	-	retrotransposable element Tf2 155 kDa protein type 1-like	OG0002782	NA	0	multi	eliminated_only	0
file_1_file_1_g10851	NA	NA	OG0010278	NA	0	multi	eliminated_only	0
file_1_file_1_g10852	NA	NA	OG0010278	NA	0	multi	eliminated_only	0
file_1_file_1_g10853	NA	NA	OG0010278	NA	0	multi	eliminated_only	0
file_1_file_1_g10855	NA	NA	OG0031327	NA	0	single	-	0
file_1_file_1_g10857	NA	NA	OG0016945	NA	0	multi	eliminated_only	0
file_1_file_1_g10858	NA	NA	OG0016949	NA	0	multi	copy_in_retained	1
file_1_file_1_g10861	NA	NA	OG0000254	NA	0	multi	copy_in_retained	16
file_1_file_1_g10863	NA	NA	OG0001138	NA	0	multi	copy_in_retained	5
file_1_file_1_g10865	NA	NA	OG0000254	NA	0	multi	copy_in_retained	16
file_1_file_1_g10868	NA	NA	OG0031329	NA	0	single	-	0
file_1_file_1_g10869	NA	NA	OG0001138	NA	0	multi	copy_in_retained	5
file_1_file_1_g10871	NA	NA	OG0000254	NA	0	multi	copy_in_retained	16
file_1_file_1_g10877	NA	NA	OG0001138	NA	0	multi	copy_in_retained	5
file_1_file_1_g10878	NA	NA	OG0000254	NA	0	multi	copy_in_retained	16
file_1_file_1_g11929	-	transposition	OG0002782	NA	0	multi	eliminated_only	0
file_1_file_1_g11930	NA	NA	OG0002782	NA	0	multi	eliminated_only	0
file_1_file_1_g11931	NA	NA	OG0000749	Y113G7B.12.1	0	multi	eliminated_only	0
file_1_file_1_g11938	NA	NA	OG0016947	NA	0	multi	eliminated_only	0
file_1_file_1_g1669	NA	NA	OG0013962	NA	0	multi	copy_in_retained	1
file_1_file_1_g1670	NA	NA	OG0013962	NA	0	multi	copy_in_retained	1
file_1_file_1_g2495	NA	NA	OG0000254	NA	0	multi	copy_in_retained	16
file_1_file_1_g2496	NA	NA	OG0009530	NA	0	multi	copy_in_retained	1
file_1_file_1_g2500	NA	NA	OG0009530	NA	0	multi	copy_in_retained	1
file_1_file_1_g2501	NA	NA	OG0013947	NA	0	multi	eliminated_only	0
file_1_file_1_g2502	NA	NA	OG0016961	NA	0	multi	eliminated_only	0
file_1_file_1_g2503	NA	NA	OG0013947	NA	0	multi	eliminated_only	0
file_1_file_1_g2504	NA	NA	OG0000254	NA	0	multi	copy_in_retained	16
file_1_file_1_g2505	NA	NA	OG0016982	NA	0	multi	eliminated_only	0
file_1_file_1_g2506	NA	NA	OG0016982	NA	0	multi	eliminated_only	0
file_1_file_1_g2521	NA	NA	OG0031645	NA	0	single	-	0
file_1_file_1_g2523	-	-	OG0001947	K09F6.9.1, Y57G11C.20.1	0	multi	copy_in_retained	2
file_1_file_1_g2526	-	Chromatin organization modifier domain	OG0001286	NA	0	multi	copy_in_retained	4
file_1_file_1_g2529	-	response to salt stress	OG0001947	K09F6.9.1, Y57G11C.20.1	0	multi	copy_in_retained	2
file_1_file_1_g3589	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0	multi	copy_in_retained	19
file_1_file_1_g3590	-	protein heterodimerization activity	OG0010247	NA	0	multi	eliminated_only	0
file_1_file_1_g3593	-	protein heterodimerization activity	OG0010247	NA	0	multi	eliminated_only	0
file_1_file_1_g3596	-	Histone H4	OG0010247	NA	0	multi	eliminated_only	0
file_1_file_1_g3597	-	histone H3	OG0031087	NA	0	single	-	0
file_1_file_1_g3600	-	Histone H4	OG0010247	NA	0	multi	eliminated_only	0
file_1_file_1_g3601	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0	multi	copy_in_retained	19
file_1_file_1_g3602	-	histone H3	OG0000012	B0035.10.1, E03A3.3.1, E03A3.4.1, F07B7.5.1, F08G2.3.1, F17E9.10.1, F22B3.2.1, F45E1.6.1, F45F2.13.1, F54E12.1.1, F55G1.2.1, K03A1.1.1, K06C4.13.1, K06C4.5.1, T10C6.13.1, W05B10.1.1, W09H1.2.1, ZK131.2.1, ZK131.3.1, ZK131.7.1	0	multi	copy_in_retained	19
file_1_file_1_g4367	NA	NA	OG0005394	T26G10.4.1	0	multi	eliminated_only	0
file_1_file_1_g5281	NA	NA	OG0000749	Y113G7B.12.1	0	multi	eliminated_only	0
file_1_file_1_g6320	NA	NA	OG0008312	NA	0	multi	eliminated_only	0
file_1_file_1_g6321	NA	NA	OG0031514	NA	0	single	-	0
file_1_file_1_g6322	NA	NA	OG0031515	NA	0	single	-	0
file_1_file_1_g6323	NA	NA	OG0000254	NA	0	multi	copy_in_retained	16
file_1_file_1_g6324	NA	NA	OG0000356	Y20F4.8.1	0	multi	copy_in_retained	9
file_1_file_1_g6325	NA	NA	OG0000254	NA	0	multi	copy_in_retained	16
file_1_file_1_g6328	-	oxidation-reduction process	OG0008245	F54H12.2.1	0	multi	copy_in_retained	2
file_1_file_1_g6330	-	-	OG0001947	K09F6.9.1, Y57G11C.20.1	0	multi	copy_in_retained	2
file_1_file_1_g7242	NA	NA	OG0012129	R02D3.7.1	0	multi	copy_in_retained	1
file_1_file_1_g7243	NA	NA	OG0012129	R02D3.7.1	0	multi	copy_in_retained	1
file_1_file_1_g7257	-	oxidation-reduction process	OG0008245	F54H12.2.1	0	multi	copy_in_retained	2
file_1_file_1_g7264	-	oxidation-reduction process	OG0008245	F54H12.2.1	0	multi	copy_in_retained	2
file_1_file_1_g804	NA	NA	OG0000254	NA	0	multi	copy_in_retained	16
file_1_file_1_g805	NA	NA	OG0000254	NA	0	multi	copy_in_retained	16
file_1_file_1_g807	NA	NA	OG0000254	NA	0	multi	copy_in_retained	16
file_1_file_1_g808	NA	NA	OG0000254	NA	0	multi	copy_in_retained	16
file_1_file_1_g809	NA	NA	OG0000254	NA	0	multi	copy_in_retained	16
file_1_file_1_g815	NA	NA	OG0000254	NA	0	multi	copy_in_retained	16
file_1_file_1_g816	NA	NA	OG0008312	NA	0	multi	eliminated_only	0
file_1_file_1_g8288	NA	NA	OG0005446	NA	0	multi	eliminated_only	0
file_1_file_1_g8290	NA	NA	OG0000254	NA	0	multi	copy_in_retained	16
file_1_file_1_g9178	NA	NA	OG0000749	Y113G7B.12.1	0	multi	eliminated_only	0
file_1_file_1_g9181	NA	NA	OG0000749	Y113G7B.12.1	0	multi	eliminated_only	0
file_1_file_1_g9186	NA	NA	OG0003429	NA	0	multi	copy_in_retained	4
file_1_file_1_g9194	NA	NA	OG0030979	NA	0	single	-	0
file_1_file_1_g9195	NA	NA	OG0030980	NA	0	single	-	0
file_1_file_1_g9196	NA	NA	OG0011069	NA	0	multi	eliminated_only	0
file_1_file_1_g9197	NA	NA	OG0010241	NA	0	multi	eliminated_only	0
file_1_file_1_g9198	NA	NA	OG0010241	NA	0	multi	eliminated_only	0
file_1_file_1_g9199	NA	NA	OG0010241	NA	0	multi	eliminated_only	0
file_1_file_1_g9200	NA	NA	OG0010241	NA	0	multi	eliminated_only	0
file_1_file_1_g9201	NA	NA	OG0010241	NA	0	multi	eliminated_only	0
file_1_file_1_g9202	NA	NA	OG0010241	NA	0	multi	eliminated_only	0
file_1_file_1_g9875	NA	NA	OG0000254	NA	0	multi	copy_in_retained	16
file_1_file_1_g9882	NA	NA	OG0002781	NA	0	multi	eliminated_only	0
file_1_file_1_g9883	NA	NA	OG0016941	NA	0	multi	copy_in_retained	1
file_1_file_1_g9884	NA	NA	OG0031077	NA	0	single	-	0
file_1_file_1_g9885	NA	NA	OG0002781	NA	0	multi	eliminated_only	0
file_1_file_1_g9886	NA	NA	OG0008312	NA	0	multi	eliminated_only	0
file_1_file_1_g9887	NA	NA	OG0016942	NA	0	multi	eliminated_only	0
file_1_file_1_g9889	NA	NA	OG0005446	NA	0	multi	eliminated_only	0
file_1_file_1_g9890	NA	NA	OG0002781	NA	0	multi	eliminated_only	0
file_1_file_1_g9891	NA	NA	OG0002781	NA	0	multi	eliminated_only	0
file_1_file_1_g9892	NA	NA	OG0005446	NA	0	multi	eliminated_only	0
file_1_file_1_g9900	NA	NA	OG0016945	NA	0	multi	eliminated_only	0
file_1_file_1_g9902	NA	NA	OG0002781	NA	0	multi	eliminated_only	0
file_1_file_1_g9905	NA	NA	OG0008312	NA	0	multi	eliminated_only	0
file_1_file_1_g9910	NA	NA	OG0016947	NA	0	multi	eliminated_only	0
file_1_file_1_g9911	NA	NA	OG0016943	NA	0	multi	eliminated_only	0
file_1_file_1_g9912	NA	NA	OG0031081	NA	0	single	-	0
file_1_file_1_g9913	NA	NA	OG0031082	NA	0	single	-	0
file_1_file_1_g9914	NA	NA	OG0031083	NA	0	single	-	0
file_1_file_1_g9915	NA	NA	OG0031084	NA	0	single	-	0
file_1_file_1_g9916	NA	NA	OG0031085	NA	0	single	-	0
file_1_file_1_g9917	NA	NA	OG0031086	NA	0	single	-	0
file_1_file_1_g9919	NA	NA	OG0016946	NA	0	multi	eliminated_only	0
file_1_file_1_g9936	-	-	OG0001947	K09F6.9.1, Y57G11C.20.1	0	multi	copy_in_retained	2
file_1_file_1_g11926	NA	NA	OG0011069	NA	2.210915	multi	eliminated_only	0
file_1_file_1_g2531	NA	NA	OG0012045	F40D4.13.1, T11F9.10.1	0.433529	multi	copy_in_retained	1
file_1_file_1_g9939	-	-	OG0002750	C25F9.1a.1, C25F9.2.1, E01G4.5.1, K09F6.10.3	0.238332	multi	copy_in_retained	2
file_1_file_1_g5282	-	steroid hormone mediated signaling pathway	OG0000749	Y113G7B.12.1	0.203979	multi	eliminated_only	0
file_1_file_1_g5280	NA	NA	OG0002782	NA	0.189747	multi	eliminated_only	0
file_1_file_1_g5283	-	Ribonuclease H protein	OG0000749	Y113G7B.12.1	0.188805	multi	eliminated_only	0
file_1_file_1_g823	-	K02A2.6-like	OG0000190	K02E2.6.3	0.164358	multi	copy_in_retained	4
file_1_file_1_g820	-	K02A2.6-like	OG0000190	K02E2.6.3	0.160508	multi	copy_in_retained	4
file_1_file_1_g9881	-	DDE superfamily endonuclease	OG0012332	NA	0.150755	multi	copy_in_retained	2
file_1_file_1_g10873	NA	NA	OG0031330	NA	0.122933	single	-	0
file_1_file_1_g10844	NA	NA	OG0001286	NA	0.116361	multi	copy_in_retained	4
file_1_file_1_g9932	NA	NA	OG0008317	NA	0.103452	multi	copy_in_retained	2
file_1_file_1_g6331	-	K02A2.6-like	OG0000190	K02E2.6.3	0.096041	multi	copy_in_retained	4
file_1_file_1_g10839	-	-	OG0002750	C25F9.1a.1, C25F9.2.1, E01G4.5.1, K09F6.10.3	0.093934	multi	copy_in_retained	2
file_1_file_1_g2492	NA	NA	OG0000356	Y20F4.8.1	0.087288	multi	copy_in_retained	9
file_1_file_1_g2525	NA	NA	OG0008317	NA	0.084813	multi	copy_in_retained	2
file_1_file_1_g9931	-	K02A2.6-like	OG0000190	K02E2.6.3	0.083111	multi	copy_in_retained	4
file_1_file_1_g5277	NA	NA	OG0000356	Y20F4.8.1	0.07295	multi	copy_in_retained	9
file_1_file_1_g5279	NA	NA	OG0000356	Y20F4.8.1	0.07295	multi	copy_in_retained	9
file_1_file_1_g812	-	K02A2.6-like	OG0000190	K02E2.6.3	0.070708	multi	copy_in_retained	4
file_1_file_1_g806	NA	NA	OG0001138	NA	0.05939	multi	copy_in_retained	5
file_1_file_1_g9929	-	-	OG0001960	NA	0.059149	multi	copy_in_retained	2
file_1_file_1_g10	NA	NA	OG0010246	NA	0.057288	multi	copy_in_retained	3
file_1_file_1_g9930	-	transposition, RNA-mediated	OG0001960	NA	0.055936	multi	copy_in_retained	2
file_1_file_1_g9940	-	ISXO2-like transposase domain	OG0000590	NA	0.055561	multi	copy_in_retained	7
file_1_file_1_g9925	NA	NA	OG0002782	NA	0.05027	multi	eliminated_only	0
file_1_file_1_g10875	-	K02A2.6-like	OG0000190	K02E2.6.3	0.050073	multi	copy_in_retained	4
file_1_file_1_g819	NA	NA	OG0000190	K02E2.6.3	0.050035	multi	copy_in_retained	4
file_1_file_1_g2524	NA	NA	OG0008316	NA	0.045081	multi	copy_in_retained	2
file_1_file_1_g9179	-	Ribonuclease H protein	OG0000749	Y113G7B.12.1	0.043168	multi	eliminated_only	0
file_1_file_1_g5275	NA	NA	OG0001960	NA	0.043044	multi	copy_in_retained	2
file_1_file_1_g10876	NA	NA	OG0000190	K02E2.6.3	0.04221	multi	copy_in_retained	4
file_1_file_1_g10841	NA	NA	OG0008316	NA	0.039797	multi	copy_in_retained	2
file_1_file_1_g9920	NA	NA	OG0011069	NA	0.039011	multi	eliminated_only	0
file_1_file_1_g5274	NA	NA	OG0001960	NA	0.038983	multi	copy_in_retained	2
file_1_file_1_g9937	NA	NA	OG0008316	NA	0.036849	multi	copy_in_retained	2
file_1_file_1_g817	-	K02A2.6-like	OG0000190	K02E2.6.3	0.035823	multi	copy_in_retained	4
file_1_file_1_g11927	-	retrotransposable element Tf2 155 kDa protein type 1-like	OG0002782	NA	0.030609	multi	eliminated_only	0
file_1_file_1_g3586	-	retrotransposable element Tf2 155 kDa protein type 1-like	OG0002782	NA	0.030609	multi	eliminated_only	0
file_1_file_1_g7246	-	retrotransposable element Tf2 155 kDa protein type 1-like	OG0002782	NA	0.030609	multi	eliminated_only	0
file_1_file_1_g9182	-	Ribonuclease H protein	OG0000749	Y113G7B.12.1	0.030536	multi	eliminated_only	0
file_1_file_1_g9183	NA	NA	OG0011069	NA	0.028902	multi	eliminated_only	0
file_1_file_1_g9926	NA	NA	OG0002782	NA	0.026435	multi	eliminated_only	0
file_1_file_1_g9897	NA	NA	OG0016944	NA	0.026173	multi	eliminated_only	0
file_1_file_1_g818	NA	NA	OG0000190	K02E2.6.3	0.025461	multi	copy_in_retained	4
file_1_file_1_g11	NA	NA	OG0000190	K02E2.6.3	0.025245	multi	copy_in_retained	4
file_1_file_1_g5273	NA	NA	OG0001960	NA	0.025151	multi	copy_in_retained	2
file_1_file_1_g7256	-	-	OG0002750	C25F9.1a.1, C25F9.2.1, E01G4.5.1, K09F6.10.3	0.024263	multi	copy_in_retained	2
file_1_file_1_g7263	-	-	OG0002750	C25F9.1a.1, C25F9.2.1, E01G4.5.1, K09F6.10.3	0.024263	multi	copy_in_retained	2
file_1_file_1_g825	NA	NA	OG0000190	K02E2.6.3	0.023313	multi	copy_in_retained	4
file_1_file_1_g822	NA	NA	OG0000190	K02E2.6.3	0.022747	multi	copy_in_retained	4
file_1_file_1_g9876	NA	NA	OG0010246	NA	0.022443	multi	copy_in_retained	3
file_1_file_1_g4378	NA	NA	OG0000356	Y20F4.8.1	0.021651	multi	copy_in_retained	9
file_1_file_1_g9924	-	retrotransposable element Tf2 155 kDa protein type 1-like	OG0002782	NA	0.021406	multi	eliminated_only	0
file_1_file_1_g9177	-	retrotransposable element Tf2 155 kDa protein type 1-like	OG0002782	NA	0.019523	multi	eliminated_only	0
